Автобус №118д;Четвер 28 травня 2026. Діє з 25.05.2026. Зміна розкладу з 01.06.2026.
Станція метро «Лісова» - Станція метро «Політехнічний інститут»
№ випуску;Станція метро «Лісова»;Бульвар Ігоря Шамо;площа Лесі Українки (ст.м. Печерська);Вулиця Володимирська;вул. Янгеля приб;Вулиця Янгеля відпр;Станція метро «Політехнічний інститут»
1;05:50;06:14;06:29;06:41;06:58;07:00;07:04
2;06:14;06:38;06:53;07:05;07:22;07:24;07:28
3;06:38;07:02;07:17;07:29;07:46;07:48;07:52
4;07:01;07:25;07:40;07:52;08:09;08:11;08:15
5;07:24;07:48;08:03;08:15;08:32;08:34;08:38
6;07:47;08:11;08:26;08:38;08:55;08:57;09:01
1;08:30;08:54;09:09;09:21;09:38;09:40;09:44
2;08:40;09:04;09:19;09:31;09:48;09:50;09:54
3;09:14;09:38;09:53;10:05;10:22;10:24;10:28
4;09:21;09:45;10:00;10:12;10:29;10:31;10:35
5;09:57;10:21;10:36;10:48;11:05;11:07;11:11
6;10:39;11:03;11:18;11:30;11:47;11:49;11:53
1;11:21;11:45;12:00;12:12;12:29;12:31;12:35
3;12:03;12:27;12:42;12:54;13:11;13:13;13:17
5;12:45;13:09;13:24;13:36;13:53;13:55;13:59
6;13:20;13:44;13:59;14:11;14:28;14:30;14:34
1;13:55;14:19;14:34;14:46;15:03;15:05;15:09
3;14:30;14:54;15:09;15:21;15:38;15:40;15:44
5;15:05;15:29;15:44;15:56;16:13;16:15;16:19
6;15:40;16:04;16:19;16:31;16:48;16:50;16:54
1;16:15;16:39;16:54;17:06;17:23;17:25;17:29
3;16:50;17:14;17:29;17:41;17:58;18:00;18:04
2;17:14;17:38;17:53;18:05;18:22;18:24;18:28
5;17:38;18:02;18:17;18:29;18:46;18:48;18:52
4;18:11;18:35;18:50;19:02;19:19;19:21;19:25
6;18:44;19:08;19:23;19:35;19:52;19:54;19:58
1;19:18;19:42;19:57;20:09;20:26;20:28;20:32
3;19:52;20:16;20:31;20:43;21:00;21:02;21:06
5;20:26;20:50;21:05;21:17;21:34;21:36;21:40
6;21:05;21:29;21:44;21:56;22:13;22:15;22:19
1;21:40;22:04;22:19;22:31;22:48;22:50;22:54
3;22:20;22:44;22:59;23:11;23:28;23:30;23:34
Станція метро «Політехнічний інститут» - Станція метро «Лісова»
№ випуску;Станція метро «Політехнічний інститут»;Станція метро «Університет»;площа Лесі Українки (ст.м. Печерська);Бульвар Ігоря Шамо;Станція метро «Чернігівська»;Станція метро «Лісова»
5;06:05;06:18;06:31;06:47;07:04;07:10
6;06:42;06:55;07:08;07:24;07:40;07:45
1;07:05;07:18;07:31;07:47;08:03;08:08
2;07:29;07:42;07:55;08:11;08:27;08:32
3;07:53;08:06;08:19;08:35;08:51;08:56
4;08:16;08:29;08:42;08:58;09:14;09:19
5;08:39;08:52;09:05;09:21;09:37;09:42
6;09:02;09:15;09:28;09:44;10:00;10:05
1;09:45;09:58;10:11;10:27;10:43;10:48
3;10:29;10:42;10:55;11:11;11:27;11:32
5;11:12;11:25;11:38;11:54;12:10;12:15
6;11:54;12:07;12:20;12:36;12:52;12:57
1;12:36;12:49;13:02;13:18;13:34;13:39
3;13:18;13:31;13:44;14:00;14:16;14:21
5;14:00;14:13;14:26;14:42;14:58;15:03
6;14:35;14:48;15:01;15:17;15:33;15:38
1;15:10;15:23;15:36;15:52;16:08;16:13
3;15:45;15:58;16:11;16:27;16:43;16:48
2;16:09;16:22;16:35;16:51;17:07;17:12
5;16:20;16:33;16:46;17:02;17:18;17:23
6;16:55;17:08;17:21;17:37;17:53;17:58
4;17:06;17:19;17:32;17:48;18:04;18:09
1;17:30;17:43;17:56;18:12;18:28;18:33
3;18:05;18:18;18:31;18:47;19:03;19:07
2;18:29;18:42;18:55;19:11;19:27;19:32
5;18:53;19:06;19:19;19:35;19:51;19:56
4;19:26;19:39;19:52;20:08;20:24;20:29
6;19:59;20:12;20:25;20:41;20:57;21:02
1;20:33;20:46;20:59;21:15;21:31;21:36
3;21:07;21:20;21:33;21:49;22:05;22:10
5;21:41;21:54;22:07;22:23;22:39;22:44
6;22:20;22:33;22:46;23:02;23:18;23:23