Автобус №19т;Четвер 28 травня 2026. Діє з 25.05.2026.
площа Тараса Шевченка - Контрактова площа
№ випуску;площа Тараса Шевченка;Вулиця Скляренка;Контрактова площа
2;09:40;09:53;10:17
3;10:07;10:20;10:44
1;10:33;10:46;11:10
2;11:00;11:13;11:37
3;11:30;11:43;12:07
1;11:53;12:06;12:30
2;12:20;12:33;12:57
3;12:50;13:03;13:27
1;13:15;13:28;13:52
2;13:55;14:08;14:32
3;14:30;14:43;15:07
1;15:04;15:17;15:41
2;15:37;15:50;16:14
3;16:08;16:21;16:45
1;16:34;16:47;17:11
2;17:00;17:13;17:37
Контрактова площа - площа Тараса Шевченка
№ випуску;Контрактова площа;Вулиця Скляренка;площа Тараса Шевченка
1;09:50;10:14;10:25
2;10:20;10:44;10:55
3;10:50;11:14;11:25
1;11:13;11:37;11:48
2;11:40;12:04;12:15
3;12:10;12:34;12:45
1;12:35;12:59;13:10
2;13:15;13:39;13:50
3;13:50;14:14;14:25
1;14:24;14:48;14:59
2;14:59;15:23;15:34
3;15:30;15:54;16:05
1;15:56;16:20;16:31
2;16:23;16:47;16:58
3;16:50;17:14;17:25