Автобус №22тк;Четвер 28 травня 2026. Діє з 22.05.2026. Зміна розкладу з 01.06.2026.
Пр. Воскресен. - Станція метро «Лісова»
№ випуску;Пр. Воскресен.;Вулиця Юності;Станція метро «Лісова»
1;05:55;06:04;06:22
3;06:19;06:28;06:46
5;06:40;06:49;07:07
1;06:53;07:02;07:20
2;07:03;07:12;07:30
3;07:13;07:22;07:40
4;07:23;07:32;07:50
5;07:32;07:41;07:59
1;07:48;07:57;08:15
2;07:57;08:06;08:24
3;08:05;08:14;08:32
4;08:15;08:24;08:42
5;08:25;08:34;08:52
1;08:40;08:49;09:07
2;08:49;08:58;09:16
3;08:58;09:07;09:25
4;09:07;09:16;09:34
5;09:20;09:29;09:47
2;09:41;09:50;10:08
4;10:00;10:09;10:27
1;10:17;10:26;10:44
3;10:35;10:44;11:02
5;10:54;11:03;11:21
1;11:12;11:21;11:39
3;11:30;11:39;11:57
5;11:49;11:58;12:16
1;12:04;12:13;12:31
3;12:24;12:33;12:51
5;12:41;12:50;13:08
1;12:58;13:07;13:25
3;13:16;13:25;13:43
5;13:33;13:42;14:00
1;13:50;13:59;14:17
3;14:08;14:17;14:35
5;14:25;14:34;14:52
1;14:42;14:51;15:09
3;14:59;15:08;15:26
5;15:20;15:29;15:47
1;15:34;15:43;16:01
3;15:55;16:04;16:22
5;16:13;16:22;16:40
1;16:27;16:36;16:54
2;16:36;16:45;17:03
3;16:46;16:55;17:13
4;16:59;17:08;17:26
5;17:09;17:18;17:36
2;17:29;17:38;17:56
1;17:38;17:47;18:05
4;17:50;17:59;18:17
3;18:01;18:10;18:28
5;18:13;18:22;18:40
2;18:24;18:33;18:51
1;18:33;18:42;19:00
4;18:42;18:51;19:09
3;18:55;19:04;19:22
5;19:04;19:13;19:31
2;19:20;19:29;19:47
4;19:34;19:43;20:01
1;19:53;20:02;20:20
3;20:09;20:18;20:36
5;20:26;20:35;20:53
1;20:46;20:55;21:13
3;21:03;21:12;21:30
5;21:22;21:31;21:49
1;21:45;21:54;22:12
3;21:58;22:07;22:25
5;22:15;22:24;22:42
Станція метро «Лісова» - Пр. Воскресен.
№ випуску;Станція метро «Лісова»;Р-к Лісовий;Пр. Воскресен.
1;06:23;06:31;06:45
3;06:47;06:55;07:09
5;07:08;07:16;07:30
1;07:21;07:29;07:43
2;07:31;07:39;07:53
3;07:41;07:49;08:03
4;07:51;07:59;08:13
5;08:00;08:08;08:22
1;08:16;08:24;08:38
2;08:25;08:33;08:47
3;08:33;08:41;08:55
4;08:43;08:51;09:05
5;08:53;09:01;09:15
1;09:08;09:16;09:30
2;09:18;09:26;09:39
3;09:26;09:34;09:48
4;09:35;09:43;09:57
5;09:48;09:56;10:09
2;10:09;10:17;10:31
4;10:28;10:36;10:50
1;10:46;10:54;11:08
3;11:03;11:11;11:25
5;11:25;11:33;11:47
1;11:40;11:48;12:02
3;11:58;12:06;12:20
5;12:17;12:25;12:39
1;12:32;12:40;12:54
3;12:52;13:00;13:14
5;13:09;13:17;13:31
1;13:26;13:34;13:48
3;13:44;13:52;14:06
5;14:01;14:09;14:23
1;14:18;14:26;14:40
3;14:36;14:44;14:57
5;14:53;15:01;15:15
1;15:11;15:19;15:32
3;15:27;15:35;15:49
5;15:50;15:58;16:11
1;16:02;16:10;16:24
3;16:23;16:31;16:44
5;16:41;16:49;17:03
1;16:55;17:03;17:17
2;17:04;17:12;17:26
3;17:14;17:22;17:36
4;17:27;17:35;17:48
5;17:37;17:45;17:58
2;17:58;18:06;18:20
1;18:08;18:16;18:30
4;18:18;18:26;18:40
3;18:29;18:37;18:51
5;18:41;18:49;19:02
2;18:52;19:00;19:14
1;19:05;19:13;19:27
4;19:10;19:18;19:32
3;19:23;19:31;19:45
5;19:34;19:42;19:56
2;19:48;19:56;20:10
4;20:02;20:10;20:24
1;20:22;20:30;20:44
3;20:39;20:47;21:01
5;20:56;21:04;21:18
1;21:16;21:24;21:38
3;21:33;21:41;21:55
5;21:51;21:59;22:13
1;22:13;22:21;22:35
3;22:28;22:36;22:50
5;22:45;22:53;23:07