Автобус №35к;Четвер 28 травня 2026. Діє з 01.05.2026.
Вулиця Підлипка - Станція метро «Славутич»
№ випуску;Вулиця Підлипка;Вулиця Колекторна;Станція метро «Славутич»
1;06:20;06:25;06:29
1;06:45;06:50;06:54
1;07:10;07:15;07:19
1;07:35;07:40;07:44
1;08:14;08:19;08:23
1;08:40;08:45;08:49
1;09:35;09:40;09:44
1;10:28;10:33;10:37
1;11:00;11:05;11:09
1;11:25;11:30;11:34
1;11:50;11:55;11:59
1;12:20;12:25;12:29
1;12:56;13:01;13:05
1;13:31;13:36;13:40
1;14:10;14:15;14:19
1;14:40;14:45;14:49
1;15:15;15:20;15:24
1;15:50;15:55;15:59
1;16:40;16:45;16:49
1;17:03;17:08;17:12
1;17:50;17:55;17:59
1;18:15;18:20;18:24
1;19:03;19:08;19:12
1;19:25;19:30;19:34
1;20:00;20:05;20:09
1;20:35;20:40;20:44
1;21:10;21:15;21:19
Станція метро «Славутич» - Вулиця Підлипка
№ випуску;Станція метро «Славутич»;Вулиця Підлипка
1;06:05;06:15
1;06:32;06:42
1;06:57;07:07
1;07:22;07:32
1;08:01;08:11
1;08:28;08:38
1;08:53;09:03
1;09:48;09:58
1;10:40;10:50
1;11:12;11:22
1;11:37;11:47
1;12:02;12:12
1;12:43;12:53
1;13:18;13:28
1;13:53;14:03
1;14:28;14:38
1;15:03;15:13
1;15:38;15:48
1;16:13;16:23
1;16:50;17:00
1;17:22;17:32
1;18:03;18:13
1;18:25;18:35
1;19:13;19:23
1;19:38;19:48
1;20:23;20:33
1;20:55;21:05