Автобус №36тр;Четвер 28 травня 2026. Діє з 27.04.2026. Зміна розкладу з 01.06.2026.
Вулиця Північна - Вулиця Чорнобильська
№ випуску;Вулиця Північна;Станція метро «Мінська»;Вулиця Вишгородська;Мікрорайон Варшавський;Вулиця Стеценка;Станція метро «Нивки»;Станція метро «Святошин»;Вулиця Чорнобильська
3;06:10;06:20;06:32;06:43;06:54;07:02;07:05;07:20
4;06:42;06:52;07:04;07:16;07:28;07:37;07:40;07:55
5;07:15;07:25;07:38;07:50;08:02;08:11;08:14;08:29
1;07:50;08:00;08:13;08:25;08:37;08:46;08:49;09:04
2;08:30;08:40;08:53;09:05;09:17;09:26;09:29;09:44
3;09:15;09:25;09:38;09:50;10:02;10:11;10:14;10:29
4;10:05;10:15;10:28;10:40;10:52;11:01;11:04;11:19
1;10:55;11:05;11:18;11:30;11:42;11:51;11:54;12:09
2;11:35;11:45;11:58;12:10;12:22;12:31;12:34;12:49
3;12:15;12:25;12:38;12:50;13:02;13:11;13:14;13:29
4;12:55;13:05;13:18;13:30;13:42;13:51;13:54;14:09
1;13:35;13:45;13:58;14:10;14:22;14:31;14:34;14:49
2;14:15;14:25;14:38;14:50;15:02;15:11;15:14;15:29
3;14:55;15:05;15:18;15:30;15:42;15:51;15:54;16:09
4;15:35;15:45;15:58;16:10;16:22;16:31;16:34;16:49
1;16:15;16:25;16:38;16:50;17:02;17:11;17:14;17:29
2;16:55;17:05;17:18;17:30;17:42;17:51;17:54;18:09
5;17:30;17:40;17:53;18:05;18:17;18:26;18:29;18:44
3;18:10;18:20;18:33;18:45;18:57;19:06;19:09;19:24
4;18:55;19:05;19:18;19:30;19:42;19:51;19:54;20:09
1;19:45;19:55;20:08;20:19;20:30;20:38;20:41;20:55
2;20:25;20:35;20:47;20:58;21:10;21:18;21:22;21:36
3;21:05;21:15;21:27;21:38;21:49;21:57;22:00;22:14
4;21:45;21:55;22:07;22:18;22:29;22:37;22:40;22:54
1;22:25;22:35;22:47;22:58;23:09;23:17;23:20;23:34
Вулиця Чорнобильська - Вулиця Північна
№ випуску;Вулиця Чорнобильська;Станція метро «Святошин»;Станція метро «Нивки»;Площа Валерія Марченка;Мікрорайон Варшавський;Вулиця Івашкевича;Станція метро «Мінська»;Вулиця Північна
1;06:15;06:30;06:34;06:45;06:54;07:07;07:19;07:33
2;06:50;07:05;07:09;07:20;07:30;07:44;07:56;08:10
3;07:22;07:37;07:41;07:52;08:02;08:16;08:28;08:42
4;07:57;08:12;08:16;08:27;08:37;08:51;09:03;09:17
5;08:32;08:47;08:51;09:02;09:12;09:26;09:38;09:52
1;09:07;09:22;09:26;09:37;09:47;10:01;10:13;10:27
2;09:47;10:02;10:06;10:17;10:27;10:41;10:53;11:07
3;10:32;10:47;10:51;11:02;11:12;11:26;11:38;11:52
4;11:22;11:37;11:41;11:52;12:02;12:17;12:29;12:44
1;12:12;12:27;12:31;12:42;12:52;13:06;13:18;13:32
2;12:52;13:07;13:11;13:22;13:32;13:46;13:58;14:12
3;13:32;13:47;13:51;14:02;14:12;14:26;14:38;14:52
4;14:12;14:27;14:31;14:42;14:52;15:06;15:18;15:32
1;14:52;15:07;15:11;15:22;15:32;15:46;15:58;16:12
2;15:32;15:47;15:51;16:02;16:12;16:26;16:38;16:52
3;16:12;16:27;16:31;16:42;16:52;17:06;17:18;17:32
4;16:52;17:07;17:11;17:22;17:32;17:46;17:58;18:12
1;17:32;17:47;17:51;18:02;18:12;18:26;18:38;18:52
2;18:12;18:27;18:31;18:42;18:52;19:06;19:18;19:32
5;18:47;19:02;19:06;19:17;19:27;19:41;19:53;20:07
3;19:27;19:42;19:46;19:57;20:07;20:20;20:32;20:45
4;20:12;20:27;20:31;20:42;20:51;21:04;21:16;21:29
1;21:00;21:15;21:19;21:30;21:39;21:52;22:04;22:17
2;21:50;22:05;22:09;22:20;22:29;22:42;22:54;23:07