Автобус №37а;Четвер 28 травня 2026. Діє з 27.04.2026.
Станція метро «Святошин» - спортивний комплекс Чайка
№ випуску;Станція метро «Святошин»;автостанція Дачна;поворот на с/к Чайку;спортивний комплекс Чайка
1;06:10;06:19;06:28;06:35
2;06:35;06:44;06:53;07:00
1;07:10;07:19;07:28;07:35
2;07:35;07:44;07:53;08:00
1;08:10;08:19;08:28;08:35
2;08:35;08:44;08:53;09:00
1;09:10;09:19;09:28;09:35
2;09:45;09:54;10:03;10:10
1;10:30;10:39;10:48;10:55
1;12:00;12:09;12:18;12:25
1;13:00;13:09;13:18;13:25
1;14:00;14:09;14:18;14:25
1;15:00;15:09;15:18;15:25
1;16:00;16:09;16:18;16:25
2;16:30;16:39;16:48;16:55
1;17:00;17:09;17:18;17:25
2;17:30;17:39;17:48;17:55
1;18:00;18:09;18:18;18:25
2;18:30;18:39;18:48;18:55
1;19:10;19:19;19:28;19:35
2;19:55;20:04;20:13;20:20
1;20:37;20:45;20:54;21:00
1;21:30;21:39;21:48;21:55
1;22:30;22:39;22:48;22:55
спортивний комплекс Чайка - Станція метро «Святошин»
№ випуску;спортивний комплекс Чайка;Пансіонат Чайка;автостанція Дачна;Станція метро «Святошин»
1;06:40;06:47;06:55;07:05
2;07:05;07:12;07:20;07:30
1;07:40;07:47;07:55;08:05
2;08:05;08:12;08:20;08:30
1;08:40;08:47;08:55;09:05
2;09:15;09:22;09:30;09:40
1;09:55;10:03;10:11;10:22
2;10:20;10:27;10:35;10:45
1;11:30;11:37;11:45;11:55
1;12:30;12:37;12:45;12:55
1;13:30;13:37;13:45;13:55
1;14:30;14:37;14:45;14:55
1;15:30;15:37;15:45;15:55
1;16:30;16:37;16:45;16:55
2;17:00;17:07;17:15;17:25
1;17:30;17:37;17:45;17:55
2;18:00;18:07;18:15;18:25
1;18:40;18:47;18:55;19:05
2;19:25;19:32;19:40;19:50
1;20:05;20:12;20:20;20:31
2;20:30;20:37;20:45;20:55
1;21:02;21:09;21:17;21:27
1;22:00;22:07;22:15;22:25
1;23:00;23:07;23:15;23:25