Тролейбус №22к;Четвер 28 травня 2026. Діє з 01.05.2026.
Вулиця Кадетський Гай - Вулиця Ольжича
№ випуску;Вулиця Кадетський Гай;Площа Космонавтів;Вулиця Борщагівська;Станція метро «Шулявська»;Вулиця Ольжича
1;—;—;06:30;06:37;06:48
2;—;—;07:05;07:12;07:23
3;07:10;07:22;07:27;07:34;07:45
1;07:40;07:52;07:57;08:04;08:15
2;08:05;08:17;08:22;08:29;08:40
3;08:33;08:45;08:50;08:57;09:08
1;09:00;09:12;09:17;09:24;09:35
2;09:25;09:37;09:42;09:49;10:00
3;09:55;10:07;10:12;10:19;10:30
1;10:40;10:52;10:57;11:04;11:15
2;11:20;11:32;11:37;11:44;11:55
1;12:20;12:32;12:37;12:44;12:55
2;13:00;13:12;13:17;13:24;13:35
1;13:40;13:52;13:57;14:04;14:15
2;14:20;14:32;14:37;14:44;14:55
1;15:00;15:12;15:17;15:24;15:35
2;15:40;15:52;15:57;16:04;16:15
3;16:05;16:17;16:22;16:29;16:40
1;16:30;16:42;16:47;16:54;17:05
2;17:00;17:12;17:17;17:24;17:35
3;17:30;17:42;17:47;17:54;18:05
1;18:15;18:27;18:32;18:39;18:50
3;18:50;19:02;19:07;19:14;19:25
2;19:17;19:29;19:34;19:41;19:52
1;19:57;20:09;20:14;20:21;20:32
2;20:37;20:49;20:54;21:01;21:12
1;21:17;21:29;21:34;21:41;21:52
2;21:55;22:07;22:12;22:19;22:30
Вулиця Ольжича - Вулиця Кадетський Гай
№ випуску;Вулиця Ольжича;Станція метро «Шулявська»;Вулиця Борщагівська;Площа Космонавтів;Вулиця Кадетський Гай
1;06:55;07:06;07:13;07:18;07:31
2;07:25;07:35;07:42;07:47;08:00
3;07:48;07:58;08:05;08:10;08:23
1;08:20;08:30;08:37;08:42;08:55
2;08:45;08:55;09:02;09:07;09:20
3;09:13;09:23;09:30;09:35;09:48
1;09:40;09:50;09:57;10:02;10:15
2;10:05;10:15;10:22;10:27;10:40
3;10:35;10:45;10:52;10:57;11:10
1;11:20;11:30;11:37;11:42;11:55
2;12:00;12:10;12:17;12:22;12:35
1;13:00;13:10;13:17;13:22;13:35
2;13:40;13:50;13:57;14:02;14:15
1;14:20;14:30;14:37;14:42;14:55
2;15:00;15:10;15:17;15:22;15:35
1;15:40;15:50;15:58;16:03;16:16
2;16:20;16:30;16:37;16:42;16:55
3;16:45;16:55;17:02;17:07;17:20
1;17:10;17:20;17:27;17:32;17:45
2;17:40;17:50;17:57;18:02;18:15
3;18:10;18:20;18:27;18:32;18:45
1;18:55;19:05;19:12;19:17;19:30
3;19:30;19:40;19:47;19:52;20:05
2;19:57;20:07;20:14;20:19;20:32
1;20:37;20:47;20:54;20:59;21:12
2;21:17;21:27;21:34;21:39;21:52
1;21:55;22:05;22:12;22:17;22:30
2;22:35;22:45;22:52;22:57;23:10